message_id,message_url,message,emojis,date,user_id
"1,39739852820122E+018",https://twitter.com/bleuelsass/status/1397398528201220099,Güedemorje bisamme 11° mit raije in Strossburi  Wie viel gràd bie eich ? Henn ihr au raije ?  https://t.co/nfCPNWWfSd  https://t.co/OJapKgBTvC,☔,2021-05-26 05:45:46,914286091
"1,3944995179118E+018",https://twitter.com/bleuelsass/status/1394499517911797764,Güedemorje Greuijermorje... Greui mit 11° in Strossburi Henn ihr au gewitter kett ? Wie viel gràd hitt morje ?  https://t.co/nfCPNWWfSd  https://t.co/zTllwN1ae0,☔,2021-05-18 05:46:08,914286091
"1,39417707067521E+018",https://twitter.com/bleuelsass/status/1394177070675206144,"De Jonathan Wahl ich hitt morje mit d'r Cynthia Colombo, Stimme 2021 !  Sie hett am Friddi owe de Gsangwetterbewerb ùff Elsassich gewounne !  Bravo ! Alli zuheerer Gratuliere dich Cynthia. #Stimme #Stimme2021 #Elsass #FranceBleuElsass #CynthiaColombo #JonathanWahl #CEA  https://t.co/AKz2dmN4uB",🥳👍👏🇮🇩 ,2021-05-17 08:24:50,914286091
"1,39232661288931E+018",https://twitter.com/bleuelsass/status/1392326612889309184,"Güedemorje ! 11° in Strossburi,  un Nass. D'Issheillige sinn do… Es word awer doch gepfiffe Was henn ihr fer wetter ?   https://t.co/nfCPNWWfSd  https://t.co/kGl7PW9U27",🥶,2021-05-12 05:51:47,914286091
"1,3854421412966E+018",https://twitter.com/bleuelsass/status/1385442141296599042,"Güedemorje !  Friddi, frisch awer scheen 4° un Strossburi, un bie eich ? Schicke un's eiheri photo Horiche un leuije eiheri sendùnge ùff Elsassich ùff  https://t.co/nfCPNWWfSd  https://t.co/a70iJP82Xr",😁📸,2021-04-23 05:55:21,914286091
"1,38217768664317E+018",https://twitter.com/bleuelsass/status/1382177686643167233,"Güedemorje !  -1° in Strossburi, gfrohre...Was henn ihr fer wetter ? Léit noch Schnee bie eich ? Komme un horiche un's ùff  https://t.co/nfCPNWWfSd !  https://t.co/RHgjzrOEA1",🥶 ,2021-04-14 05:43:34,914286091
"1,38145329021125E+018",https://twitter.com/bleuelsass/status/1381453290211250176,"Güedemorje, es raijt... 4° am Wacke in Strossburi Was henn ihr wetter ? Nasser awer güeder Mandi in alle ùff  https://t.co/nfCPNWWfSd  https://t.co/tKHF6kpHPc",☔ ,2021-04-12 05:45:05,914286091
"1,37674829571282E+018",https://twitter.com/bleuelsass/status/1376748295712817155,"Güedemorje !  4°in Strossburi, a scheener Freijohr Was henn ihr fer wetter ? Henn ihr 's Oschternécht schon gemacht ?  D'Karchwoch vebringe ihr ùff  https://t.co/nfCPNWWfSd  https://t.co/ED6QhuMwgs",🌞🌝 ,2021-03-30 06:09:07,914286091
"1,37494536883687E+018",https://twitter.com/bleuelsass/status/1374945368836866053,"Güedemorje ! 3° in Mittelwhir, d'Pféijele pfiffe un d'r Mandelbaum bléit schon mit rosa rot blüeme ! Was henn ihr fer wetter ? Hen eiheri Baïm schon blüeme drann ? Schicke un's eiheri photo… https://t.co/iC0MzSiKgz",📸📲 ,2021-03-25 05:44:55,914286091
"1,36878495946129E+018",https://twitter.com/bleuelsass/status/1368784959461285891,"Güedemorje bisamme.  Brrr...es hett wieder gfrorre die Nacht, -2° in Strossbouri Was henn ihr fer wetter ?  Hitt spezialer dàà fer d'Frawe ùff  https://t.co/nfCPNWWfSd  https://t.co/SswGFanRdr",🌬,2021-03-08 05:45:39,914286091
"1,36861777632005E+018",https://twitter.com/bleuelsass/status/1368617776320049155,Jede morje ich d'Huguette Dreikaus  mit'm Jonathan Wahl fer zittung lesse ab de 6h30.  30 johr schon wie de Serge Gainsbourg gestorwe ich. Fer dess hett d'Huguette 1000 moll besser gemàcht...D'ganz chronique kinne ihr do horiche :  https://t.co/cRppTLniTG  https://t.co/KSLzXJyJaT,🤣 ,2021-03-07 18:41:20,914286091
"1,36660761053175E+018",https://twitter.com/bleuelsass/status/1366607610531753985,Güedemorje !  Es ich wieder kalt im Rhintààl... -1° in Strossbouri Wie stehn Température bie eich ? Photo?  https://t.co/nfCPNWWfSd  https://t.co/mzeW2t8Gwf,🥶 ,2021-03-02 05:33:39,914286091
"1,36624748381963E+018",https://twitter.com/bleuelsass/status/1366247483819626496,Güedemorje bisamme. 0° in Strossburi ! Wie viel gràd bie eich ? M'r wàrte ùff d'Sonn ùff  https://t.co/nfCPNWWfSd  https://t.co/dBlaUrl8wD,🥶🧤🧣 ,2021-03-01 05:42:38,914286091
"1,36516024259885E+018",https://twitter.com/bleuelsass/status/1365160242598850563,Güedemorje bisamme !  Wetter wie im Friehjohr...Was gibt's mit de Température hitt bie eich ? Sawe un's was ihr fer wetter henn mit photo.  Horiche eiheri sendùnge ùff elsassich ùff  https://t.co/nfCPNWWfSd  https://t.co/aZAS3TvdP2,🕊 ,2021-02-26 05:42:19,914286091
"1,36407379280968E+018",https://twitter.com/bleuelsass/status/1364073792809684993,Güedemorje bisamme 3° in Strossbouri… Wie viel gràd in eiheri gemein ? Horiche France Bleu Elsass ùff  https://t.co/nfCPNWWfSd oder ùff d'r App France Bleu.  https://t.co/CRbywa8S5E,🙋‍♂️🙋‍♀️ 🌤 ,2021-02-23 05:45:10,914286091
"1,3594044487334E+018",https://twitter.com/bleuelsass/status/1359404448733401092,Es schnéit ! Im studio hett de Jonathan Wahl de Schlitte geschricht !  Komme schlitte fahre ùff  https://t.co/nfCPNWWfSd  https://t.co/6R29uXRvZ7,😁🤣🌨⛷🛷❄,2021-02-10 08:30:51,914286091
"1,35937626687767E+018",https://twitter.com/bleuelsass/status/1359376266877669376,Was ? -6° in Strossbouri ??? Wie nieder sinn température bie eich ? Es schnéit im Elsass un im Rhintààl.  De Winderdinscht màche mir mitnander ùff  https://t.co/nfCPNWWfSd am 03-88-25-12-12.  https://t.co/5HHZg7ciai,❄☃️🌬🌡,2021-02-10 06:38:52,914286091
"1,35248409512584E+018",https://twitter.com/bleuelsass/status/1352484095125843968,Güedemorje !  10° in Strossburi mit wind. Was henn ihr fer wetter? Hitt ich de Ditsch-Franzechdàà ! Es gibt kenn Grenz ùff France Bleu Elsass. Entdecke unseri Rhintààler ùff  https://t.co/nfCPNWWfSd  #deutschfranzösischefreundschaft #deutschland #frankreich  #grenzenlos  https://t.co/arQxTNfxSk,🇨🇵🇩🇪🇲🇨 ,2021-01-22 06:11:50,914286091
"1,34994806509713E+018",https://twitter.com/bleuelsass/status/1349948065097125888,"Schnee, schnee, schnee… Güedemorje, wie viel centimèter schnee henn ihr bie eich ? Sinn d'strosse offe oder nit ? 03-88-25-12-12  France Bleu Elsass màcht mit theim un ùff de stross ùff eiheri App France Bleu oder ùff  https://t.co/nfCPNWWfSd  https://t.co/8GLuGW6t2V",❄❄,2021-01-15 06:14:34,914286091
"1,34958216648163E+018",https://twitter.com/bleuelsass/status/1349582166481629185,Güedemorje in alle !  Wie viel centimèter schnee bie eich ? Sinn d'Strosse offe ? Sawe un's was ihr fer wetter henn ! De winterdienscht leuije mit mitnander ùff  https://t.co/nfCPNWWfSd ! ️App France Bleu ️France Bleu Elsass  #neige #alsace #elsass #rheinlandpfalz #circulation  https://t.co/Qf5GADocZu,➡️ ➡️ ,2021-01-14 06:00:37,914286091
"1,34922052499243E+018",https://twitter.com/bleuelsass/status/1349220524992425984,"Àchtung Glattiss ùff de Stross Güedemorje !  -1° in Strossbouri un de bode sieht uss wie a Spiegel ! Was henn ihr fer wetter ? Im auto, horiche France Bleu Elsass mit eiheri App France Bleu ùff em smartphone. Oder theim ùff  https://t.co/nfCPNWWfSd #verglas #méteo #Alsace  https://t.co/IHfIa76unF",🚨🚨,2021-01-13 06:03:35,914286091
"1,34849284188297E+018",https://twitter.com/bleuelsass/status/1348492841882968066,"Gu...gu...güedemorje...brrr -5° in Strossburi mit glatt iss… Wie kalt ich's bie eich ? Glenzt de bode au ? Mir henn de studio gewàrmt, komme im warme ùff  https://t.co/nfCPNWWfSd  https://t.co/HZRWTiZQiE",🥶 ,2021-01-11 05:52:01,914286091
"1,34740441550285E+018",https://twitter.com/bleuelsass/status/1347404415502848001,Güedemorje ! Es schnéit 2° in Strossbouri mit schnee. Was henn ihr fer wetter ?  Lonn eiheri photo vom wetter do https://t.co/nfCPNWWfSd #neige #Alsace #strasbourg #Elsass  https://t.co/eiWPzCNgJr,😁🌨 📸📲 ,2021-01-08 05:47:00,914286091
"1,32654347553842E+018",https://twitter.com/bleuelsass/status/1326543475538419716,"France Bleu Elsass ich hitt 90Johr jùng ! De Jonathan Wahl hett de Kueche gericht, un dutt mit eich ùff d'Kerze blosse ! Wenn's geht... https://t.co/nfCPNXdQJL #Francebleuelsass #90ans #Elsass #elsassich #humour #anniversaire  https://t.co/SKTLgaz3Sy",🎉🎊🎂😆😆😆 ,2020-11-11 16:13:05,914286091
"1,32647108973679E+018",https://twitter.com/bleuelsass/status/1326471089736790016,D'Gebursdààs winsch von d'r Huguette Dreikaus fer d'90 Johr von France Bleu Elsass. Màche mit ùff  https://t.co/nfCPNWWfSd https://t.co/nZymY3hzKn,🎉😁,2020-11-11 11:25:27,914286091
"1,25400244389934E+018",https://twitter.com/bleuelsass/status/1254002443899342849,"Es ich ebs néijs wie d'litt ùff internet zaije, de Dütter in de Sun nuss schtrecke ! Uff English seht m'r Butthole sunning !  d'Huguette Dreikaus hett do driwer fer eich mé erfohre… D'Ganz vidéo ich do: https://t.co/kTVwczgTHL  https://t.co/KftexkK09L",😁👇👇👇,2020-04-25 13:00:55,914286091
"1,25363104930275E+018",https://twitter.com/bleuelsass/status/1253631049302753280,"Hummm, güedi Sürlawerla !  Do kinne ihr se au braviere https://t.co/muxr1a0UE5  https://t.co/c4i8fOAjPd",👇,2020-04-24 12:25:08,914286091
"1,25357389574096E+018",https://twitter.com/bleuelsass/status/1253573895740960768,"Güedemorje, endli Friddi ! Wieder a woch rumm, d'Feyele pfiffe mit dem scheene wetter, 10°. Was henn ihr fer wetter hitt?  https://t.co/nfCPNWWfSd  Lohn eiheri photo oder vidéo gràd do https://t.co/NbUdYLsr8d",👇👇👇,2020-04-24 08:38:01,914286091
"1,25248426405209E+018",https://twitter.com/bleuelsass/status/1252484264052088833,"Güedemorje in alle ! Guht gschloffe ? Ja? De Kaffé schon drunde? Was henn ihr fer wetter hitt morje ? Es ich noch arri windi, awer mitere scheeni Sunn. 11° in Suffloum (photo) Gehn ùff  https://t.co/nfCPNWWfSd  https://t.co/EWxsrqgvCG",🐓🛌⏰☕✅☀️,2020-04-21 08:28:13,914286091
"1,24543387318764E+018",https://twitter.com/bleuelsass/status/1245433873187639297,Àlles Beschte zem Nàmesdàà in de Hugues ùn in de Huguette! Huguette Dreikaus  https://t.co/2pKAN3op5o  https://t.co/Ck2PFMausx,😘,2020-04-01 21:32:29,914286091
